id,course1,marker1,course2,marker2,course3,marker3,course4,marker4,total
9,0,,0,,0,,0,王兰、侯澎、张英、张洋,0
11,69,无,86,无,0,无,68.93,无,75.79
14,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0
17,0,,0,,0,,0,,0
24,0,无,18,李冬,25.47,杨刚 孟伟 张海燕 淮永,38.33,孟伟 张海燕 淮永,81.8
25,63,无,78,无,0,无,79.14,无,72.23
28,38.4,胡冬,0,胡冬,17.8,张金凤,37.6,李莉,93.8
32,53,无,72,无,0,无,84,无,66.8
33,32,孙世瑕,8,项晶茹,8,项晶茹,29.75,金宇宇,77.75
40,0,无,0,无,0,无,0,温舟、张晨、李强、贺超、米锋、姜艳、吴源,0
41,74,丁梁,0,丁梁,92.8,丁梁,94,丁梁,85.76
43,44,无,70,无,0,无,83.57,无,62.31
44,74,丁梁,0,丁梁,88.6,丁梁,91.4,丁梁,83.88
49,77,无,76,无,0,无,84.71,无,78.14
52,67,无,78,无,0,无,81.64,无,74.33
54,22.2,阚江宇,21,李文彬,22.2,康峰,21,阚江宇,86.4
57,0,,0,,0,,0,,0
60,79,蔡军,79,蔡军,89,蔡军,90,蔡军,84
64,36.28,xx培育然科教师,18.2,xx培育然科教师,17.1,xx培育然科教师,18.52,xx培育然科教师,90.11
65,94,徐程毅、张新怡,94,徐程毅、李雷、樊大勇、张新怡,91.5,徐程毅、李雷、樊大勇、张新怡,92,徐程毅、李雷、樊大勇、张新怡,93.1
66,0,无,0,无,0,无,0,无,0
68,88.2,xx经理然科,88.5,xx经理然科,89.1,xx经理然科,90.4,xx经理然科,89.05
70,0,无,0,无,0,无,0,无,0
74,34,孙世瑕,9,项晶茹,8.5,项晶茹,30.5,金宇宇,82
81,34.4,孙世瑕,6,项晶茹,8,项晶茹,28.75,金宇宇,77.15
83,62,无,78,无,0,无,82.5,无,72.5
85,0,,0,无,0,无,0,无,0
89,0,无,0,无,0,无,86.45,张毅等,86.45
99,0,,0,,0,,85.63,王兰、侯澎、张英、张洋,85.63
101,0,无,0,无,0,无,0,无,0
107,0,无,0,无,77.2,无,74.17,无,74.77
111,0,无,23,李冬,18.13,杨刚 齐凯 李巨虎 赵方,30.67,齐凯 李巨虎 赵方,71.8
112,68,丁梁,0,丁梁,91.2,丁梁,93.8,丁梁,82.96
115,86.8,xx然科,83,xx然科,83.8,xx然科,84.8,xx然科,84.44
117,87,蔡军,87,蔡军,92,蔡军,92,蔡军,90
119,0,无,0,无,0,无,0,"田治强 张岩	王炜	周欣	李颖	孙凤	何h",0
126,49,无,75,无,0,无,72.29,无,64.06
133,0,无,0,无,0,无,0,无,0
134,0,无,0,无,0,无,0,吴源，温舟，张晨，李强，姜艳,0
136,60,石娟、徐晗,91.1,x保教师,96.5,陶静、刘红莉,93,x保教师,80.12
140,0,无,0,无,0,无,90.25,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,90.25
154,0,,0,无,0,无,0,无,0
157,0,吴宇红,0,张连伟,0,阎景娟,0,阎景娟,0
159,79.8,孙淼、王毅、张盼、李馨、王,80.2,孙淼、王毅、张盼、李馨、王,78.6,孙淼、王毅、张盼、李馨、王,79.2,孙淼、王毅、张盼、李馨、王,79.45
174,0,无,0,无,87.86,无,90.86,无,90.26
176,73,无,72,无,0,无,84.29,无,74.86
178,38,孙桓凯,0,孙桓凯,17,孙桓凯,35,孙桓凯,90
188,0,无,0,无,89.78,王晨逸、于畅,89.78,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,89.78
196,0,,0,,0,,0,,0
197,89,无,0,无,87.25,无,92.5,无,90.5
203,60,史宝 张艳芳,0,无,94,于洪涵,90.2,李芝 姚小凯 祖莉,78.88
206,34.8,孙世瑕,7,项晶茹,7.5,项晶茹,33.5,金宇宇,82.8
209,0,无,0,无,94,王晨逸、于畅,85.22,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,87.86
211,55,蔡军,55,蔡军,80,蔡军,81,蔡军,68
215,88.2,xx经理然科,87.1,xx经理然科,87.1,xx经理然科,89.1,xx经理然科,87.82
220,0,无,0,无,0,无,83.13,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,83.13
221,87.25,田治强,0,,0,,0,,0
225,0,无,0,无,80.14,无,83.71,无,83
227,0,无,0,无,0,无,86.5,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,86.5
228,91.75,孙淼、王毅、张盼、李馨,91.5,孙淼、王毅、张盼、李馨,88.75,孙淼、王毅、张盼、李馨,91.2,孙淼、王毅、张盼、李馨,90.8
229,0,无,0,无,0,无,83.75,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,83.75
230,0,无,0,无,0,无,90.71,温舟、张晨、李强、贺超、米锋、姜艳、吴源,90.71
232,0,无,0,无,0,无,89.35,王兰、侯澎、张英、张洋,89.35
233,87,段克勤,0,无,82,刘玮,72.2,段克勤 刘笑睿 崔信跃,80.08
235,0,无,0,无,0,无,85.58,王兰、侯澎、张英、张洋,85.58
237,88.6,xx经理然科,88.9,xx经理然科,87.3,xx经理然科,89.5,xx经理然科,88.49
245,0,无,70,无,0,无,0,无,28
254,33.6,孙世瑕,8,项晶茹,7.5,项晶茹,29.25,金宇宇,78.35
265,86.2,孙淼、王毅、张盼、李馨、王,88,孙淼、王毅、张盼、李馨、王,83.4,孙淼、王毅、张盼、李馨、王,89.2,孙淼、王毅、张盼、李馨、王,86.7
266,0,无,0,无,90.5,王晨逸、于畅,80.7,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,83.69
267,35.28,xx培育然科教师,17.36,xx培育然科教师,15.7,xx培育然科教师,17.73,xx培育然科教师,86.07
276,0,无,0,无,83.86,无,89.86,无,88.66
281,85,xx经理然科,85.9,xx经理然科,83.3,xx经理然科,87.9,xx经理然科,85.38
282,88.4,xx经理然科,89.5,xx经理然科,87.1,xx经理然科,89.9,xx经理然科,88.62
286,0,无,0,无,83,王晨逸、于畅,83,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,83
291,85,xx经理然科,86.4,xx经理然科,85.8,xx经理然科,86.8,xx经理然科,85.99
294,0,无,0,无,0,无,88.57,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",88.57
300,91.5,孙淼、王毅、张盼、李馨,87.25,孙淼、王毅、张盼、李馨,87.25,孙淼、王毅、张盼、李馨,90.2,孙淼、王毅、张盼、李馨,89.05
301,0,无,65,柴焕锁,0,无,89,李芝 姚小凯 祖莉,77
303,0,无,0,无,0,无,0,无,0
304,75,蔡军,75,蔡军,86,蔡军,86,蔡军,81
308,73,无,83,无,0,无,77.43,无,77.89
310,0,无,67,柴焕锁,0,无,87.3,李芝 姚小凯 祖莉,77.15
316,0,无,0,无,0,无,89.71,温舟、张晨、李强、贺超、米锋、姜艳、吴源,89.71
320,86.875,田治强,0,,0,,0,,0
322,0,无,0,无,0,无,0,无,0
325,0,无,0,无,0,无,95,吴源，温舟，张晨，李强，姜艳,95
332,0,无,0,无,0,无,90.27,张毅等,90.27
334,35.64,xx培育然科教师,17.51,xx培育然科教师,14.44,xx培育然科教师,17.78,xx培育然科教师,85.38
341,0,,0,,0,,90.1,王兰、侯澎、张英、张洋,90.1
343,86,孙淼、王毅、张盼、李馨,87.75,孙淼、王毅、张盼、李馨,87,孙淼、王毅、张盼、李馨,88,孙淼、王毅、张盼、李馨,87.19
348,70,刘艳,0,刘艳等,0,刘艳等,91.75,刘艳等,83.05
351,0,无,0,无,0,无,0,温舟、张晨、李强、贺超、米锋、姜艳、吴源,0
352,88.8,孙淼、王毅、张盼、李馨、王,91,孙淼、王毅、张盼、李馨、王,88.4,孙淼、王毅、张盼、李馨、王,92.6,孙淼、王毅、张盼、李馨、王,90.2
354,33.72,培育然科教师,16.38,培育然科教师,15.3,xx培育然科教师,17.8,培育然科教师,83.2
356,83,无,0,无,76.75,无,86,无,82.95
361,31.2,孙世瑕,7,项晶茹,7.5,项晶茹,29.75,金宇宇,75.45
362,30,孙世瑕,6,项晶茹,7,项晶茹,29,金宇宇,72
366,0,无,0,无,81.78,王晨逸、于畅,81.78,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,81.78
370,0,无,0,无,0,无,91.57,温舟、张晨、李强、贺超、米锋、姜艳、吴源,91.57
376,0,无,0,无,0,无,90.29,温舟、张晨、李强、贺超、米锋、姜艳、吴源,90.29
381,0,无,0,无,0,无,89.5,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,89.5
382,0,无,0,无,0,无,92.77,张毅等,92.77
383,63,无,78,无,0,无,79.29,无,72.26
386,0,无,0,无,0,无,92.45,张毅等,92.45
387,36.72,xx培育然科教师,18.12,xx培育然科教师,15.2,xx培育然科教师,18.43,xx培育然科教师,88.47
390,0,孙世瑕,0,项晶茹,0,项晶茹,0,金宇宇,0
396,0,无,0,无,0,无,91.32,张毅等,91.32
397,89,无,0,无,80.5,无,88.9,无,87
405,93,无,0,无,76,无,89.2,无,88.08
412,0,刘艳,0,刘艳等,0,刘艳等,87.75,刘艳等,52.65
413,84,丁梁,0,丁梁,89.6,丁梁,94.6,丁梁,89.36
414,0,无,0,无,0,无,78.43,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",78.43
416,0,,0,无,0,无,0,无,0
426,0,无,0,无,0,无,93,侯方淼，郭军，秦光源,93
428,0,无,0,无,0,无,88.09,张毅等,88.09
429,0,,0,,0,,0,雷都，宋先源，段久芳,0
430,87.125,田治强,0,,0,,0,,0
431,88,胡淼夫,0,时昆等,94,时昆等,90,时昆等,90.67
432,0,,0,,0,,95,雷都，宋先源，段久芳,95
433,88.9,xx经理然科,87.7,xx经理然科,86,xx经理然科,88.4,xx经理然科,87.63
439,88,xx然科,86.2,xx然科,94,xx然科,91.4,xx然科,90.72
442,60,刘艳,0,刘艳等,0,刘艳等,91.25,刘艳等,78.25
444,35.93,xx培育然科教师,17.85,xx培育然科教师,15.73,xx培育然科教师,18.25,xx培育然科教师,87.76
446,0,无,0,无,0,无,0,无,0
447,35.66,xx培育然科教师,17.67,xx培育然科教师,17.27,xx培育然科教师,18.34,xx培育然科教师,88.92
451,0,无,0,无,0,无,86.57,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",86.57
460,0,无,0,无,0,无,88.43,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",88.43
472,85,孙淼、王毅、张盼、李馨、王,88.2,孙淼、王毅、张盼、李馨、王,88.6,孙淼、王毅、张盼、李馨、王,89.2,孙淼、王毅、张盼、李馨、王,87.75
477,35.2,孙世瑕,7,项晶茹,9.5,项晶茹,36.25,金宇宇,87.95
492,0,xx经理然科,0,xx经理然科,0,xx经理然科,0,xx经理然科,0
496,87.5,xx经理然科,87.3,xx经理然科,87.2,xx经理然科,88,xx经理然科,87.48
498,0,无,0,无,0,无,88,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,88
500,59,史宝 张霞,0,无,75,于洪涵,87.3,李芝 姚小凯 祖莉,73.52
501,88,xx经理然科,87.9,xx经理然科,87.8,xx经理然科,89.6,xx经理然科,88.29
507,0,无,0,无,0,无,84.71,张毅等,84.71
508,0,无,0,无,0,无,91.14,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",91.14
512,0,无,0,无,0,无,0,无,0
513,0,,0,无,0,无,0,无,0
514,38,孙桓凯,0,孙桓凯,18,孙桓凯,36,孙桓凯,92
520,0,,0,无,0,无,0,无,0
528,0,无,0,无,0,无,88.36,张毅等,88.36
529,0,无,0,无,0,无,88.45,王兰、侯澎、张英、张洋,88.45
530,0,无,0,无,0,无,91.77,张毅等,91.77
533,0,无,0,无,0,无,89.73,张毅等,89.73
538,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0
541,0,无,0,无,0,无,92,温舟、张晨、李强、贺超、米锋、姜艳、吴源,92
542,0,无,0,无,0,无,93,侯方淼，郭军，秦光源,93
544,92,无,0,无,73,无,87.3,无,86.3
546,0,无,0,无,0,无,93.5,雷都，宋先源，段久芳,93.5
551,0,田治强,0,,0,,0,,0
553,0,无,0,无,0,无,0,无,0
554,87,无,0,无,69.25,无,85.5,无,82.85
555,34.95,xx培育然科教师,17.4,xx培育然科教师,16.36,xx培育然科教师,18.07,xx培育然科教师,86.78
556,60,刘艳,0,刘艳等,0,刘艳等,91.75,刘艳等,78.85
559,87.25,孙淼、王毅、张盼、李馨,86.75,孙淼、王毅、张盼、李馨,75.25,孙淼、王毅、张盼、李馨,85.8,孙淼、王毅、张盼、李馨,83.76
560,1,,1,,1,,1,,1
571,0,无,0,无,0,无,89.29,温舟、张晨、李强、贺超、米锋、姜艳、吴源,89.29
572,0,无,0,无,85,王晨逸、于畅,86,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,85.7
574,84,无,0,无,83.75,无,89,无,85.95
579,33.2,戴丽、张芹、郝正聪、高毅武,0,无,17.6,戴丽、张芹、巩前文、吴守莉、周文、郝正聪、李成密,36,戴丽、张芹、巩前文、吴守莉、周文、郝正聪、李成密,86.8
580,0,无,0,无,0,无,0,温舟、张晨、李强、贺超、米锋、姜艳、吴源,0
582,0,无,0,无,0,无,0,无,0
583,88.4,孙淼、王毅、张盼、李馨、王,89.2,孙淼、王毅、张盼、李馨、王,87.8,孙淼、王毅、张盼、李馨、王,90.2,孙淼、王毅、张盼、李馨、王,88.9
585,0,无,0,无,80,无,79.5,无,79.6
589,86.5,田治强,0,,0,,0,,0
590,0,无,0,无,0,无,90.32,张毅等,90.32
596,58,史宝 张艳芳,0,无,86,段克勤 刘笑睿 崔信跃,84.4,李芝 姚小凯 祖莉,74.16
597,0,无,0,无,0,无,86.63,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,86.63
599,60.5,石娟、徐晗,88.9,x保教师,88.5,陶静、刘红莉,90.4,x保教师,77.76
602,0,无,74,柴焕锁,0,无,86,李芝 姚小凯 祖莉,80
603,84.2,冯仲科，岳淼澎，张小丽，王睿睿，黄季桓,85.2,冯仲科，岳淼澎，张小丽，王睿睿，黄季桓,86.8,冯仲科，岳淼澎，张小丽，王睿睿，黄季桓,87,冯仲科，岳淼澎，张小丽，王睿睿，黄季桓,85.7333
605,0,无,0,无,0,无,0,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",0
607,0,无,0,无,0,无,92.43,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",92.43
609,73,丁梁,0,丁梁,86.4,丁梁,92,丁梁,83.28
612,67,石娟、徐晗,88.2,x保教师,85,陶静、刘红莉,90,x保教师,79.44
617,82,无,0,无,74.5,无,86,无,82.1
618,0,无,68,柴焕锁,0,无,86.3,李芝 姚小凯 祖莉,77.15
619,77,史宝 张艳芳,0,无,86,段克勤 刘笑睿 崔信跃,89.1,李芝 姚小凯 祖莉,83.64
621,0,,0,无,0,无,0,无,0
623,0,无,0,无,0,无,89.55,张毅等,89.55
624,34,孙世瑕,6,项晶茹,8,项晶茹,29.25,金宇宇,77.25
625,33.2,孙世瑕,6,项晶茹,7.5,项晶茹,29.5,金宇宇,76.2
626,0,无,0,无,0,无,95,侯方淼，郭军，秦光源,95
631,0,无,0,无,0,王晨逸、于畅,0,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,0
634,78.25,孙淼、王毅、张盼、李馨,84.75,孙淼、王毅、张盼、李馨,84.25,孙淼、王毅、张盼、李馨,81.4,孙淼、王毅、张盼、李馨,82.16
636,23.8,闫磊,23.4,赵健,24.1,肖桓平,23,唐源,94.3
637,0,,0,,0,,86.35,王兰、侯澎、张英、张洋,86.35
638,67,史宝 张艳芳,0,无,43.3,段克勤 刘笑睿 崔信跃,86.7,李芝 姚小凯 祖莉,70.14
643,33.2,魏利,8.02,魏利,7.85,魏利,31.72,魏利,80.79
644,0,无,0,无,61,王晨逸、于畅,55,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,56.8
645,16.8,魏利,0,魏利,0,魏利,6.72,魏利,23.52
648,0,,0,,0,,87.55,王兰、侯澎、张英、张洋,87.55
649,0,无,0,无,0,无,85.77,张毅等,85.77
650,36,xx培育然科教师,17.78,xx培育然科教师,15.18,xx培育然科教师,17.84,xx培育然科教师,86.81
656,0,无,0,无,91.71,无,88.57,无,87.2
658,32.4,孙世瑕,6,项晶茹,8,项晶茹,34.5,金宇宇,80.9
659,36.07,xx培育然科教师,17.93,xx培育然科教师,16.27,xx培育然科教师,18.25,xx培育然科教师,88.52
660,90,段克勤,0,无,88,刘玮,90,段克勤 刘笑睿 崔信跃,89.6
663,0,无,78,柴焕锁,0,无,87.3,李芝 姚小凯 祖莉,82.65
666,84,丁梁,0,丁梁,87,丁梁,92.6,丁梁,88.04
668,76,丁梁,0,丁梁,81.8,丁梁,90,丁梁,82.76
670,0,无,0,无,0,无,0,无,0
671,0,xx然科,0,xx然科,0,xx然科,0,xx然科,0
672,0,无,0,无,0,无,0,"田治强	张岩	王炜	周欣	李颖	孙凤	何h",0
675,91.1,xx经理然科,89.5,xx经理然科,92.8,xx经理然科,92.1,xx经理然科,91.47
677,31.2,孙世瑕,8,项晶茹,8,项晶茹,30,金宇宇,77.2
682,88.1,xx经理然科,88.1,xx经理然科,87.9,xx经理然科,89.4,xx经理然科,88.34
686,89,徐程毅、张新怡,92.5,徐程毅、李雷、樊大勇、张新怡,91,徐程毅、李雷、樊大勇、张新怡,90.5,徐程毅、李雷、樊大勇、张新怡,90.4
687,0,无,0,无,0,无,92.09,张毅等,92.09
688,84.2,孙淼、王毅、张盼、李馨、王,90.4,孙淼、王毅、张盼、李馨、王,81.6,孙淼、王毅、张盼、李馨、王,88.4,孙淼、王毅、张盼、李馨、王,86.15
690,32.8,魏利,8.63,魏利,8.83,魏利,35.72,魏利,85.98
693,0,无,0,无,0,无,0,无,0
694,75,无,85,无,0,无,84.86,无,80.97
695,90,无,0,无,77,无,84.8,无,85.3
697,0,,0,,0,,0,,0
698,0,无,0,无,0,无,91.59,张毅等,91.59
700,0,无,0,无,0,无,88.63,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,88.63
